Name;id;brewery_id;cat_id;style_id;Alcohol By Volume;International Bitterness Units;Standard Reference Method;Universal Product Code;filepath;Description;add_user;last_mod;Style;Category;Brewer;Address;City;State;Country;Coordinates;Website;;;;;;;;;;;
Oatmeal Stout;1532;586;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Goose Island Beer Company - Fulton Street;1800 West Fulton Street;Chicago;Illinois;United States;41.8871; -87.6721;;;;;;;;;;;
Genuine Irish Stout;1533;93;3;42;4;99999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Beamish & Crawford;South Main Street;Cork;;Ireland;51.897; -8.4769;;;;;;;;;;
Liefmans Kriekbier;1534;287;5;70;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;Belgian-Style Fruit Lambic;Belgian and French Ale;Brouwerij Liefmans;200 Aalststraat;Oudenaarde;Oost-Vlaanderen;Belgium;50.8439; 3.617;http://www.liefmans.be/;;;;;;;;;;
Amber Lager;1535;1200;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Stevens Point Brewery;2617 Water Street;Stevens Point;Wisconsin;United States;44.5104; -89.5734;;;;;;;;;;;
Pub Ale Draught;1536;148;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Boddington's Brewery;;Manchester;Manchester;United Kingdom;53.4807; -2.2344;;;;;;;;;;;
Mile Rock Amber Ale;1537;632;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Harbor City Brewing;535 West Grand Avenue;Port Washington;Wisconsin;United States;43.3871; -87.8795;;;;;;;;;;;
John Courage Amber;1538;406;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Courage Brewery;Tadcaster LS24 9SA;Tadcaster;North Yorkshire;United Kingdom;53.8846; -1.2652;;;;;;;;;;;
Fuggles IPA;1539;1136;3;31;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Shipyard Brewing - Portland;86 Newbury Street;Portland;Maine;United States;43.6619; -70.2489;http://www.shipyard.com/;;;;;;;;;;
Hitachino Nest Espresso Stout;154;742;-1;-1;7;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Kiuchi Shuzou Goushi Kaisya;1257; Kounsosu;Ibaraki;Kanto;Japan;;;;;;;;;;;
PranQster Belgian Ale;1540;919;-1;-1;7;599999905;0;0;0;;Pranqster  Belgian Style Golden Ale   Belgian Ales represent the height of the brewers' art. Sophisticated brewing techniques; yeast blends and unique flavoring elements have elevated the beers of Belgium to the status enjoyed by wine in other countries.   PranQster follows in this tradition using a mixed culture of antique yeast strains that produce a floral nose; a full fruity flavor and a clean finish.   Available in 12oz 4 packs and 750 ml traditionally corked and wired bottles.   Vital Statistics  Style: Belgian Style            Golden Ale  Color: Soft Gold  ABV: 7.6%  Bitterness: 20 IBU's   -http://www.northcoastbrewing.com/beer-Pranqster.htm;0;2010-07-22 22:00:00+02:00;;;North Coast Brewing Company;455 North Main Street;Fort Bragg;California;United States;39.4466; -123.806;http://www.northcoastbrewing.com/home.htm;;;;;;;
Coniston Bluebird Bitter;1541;1353;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;WH Brakspear & Sons;;Henley-on-Thames;Oxford;United Kingdom;51.5375; -0.9046;;;;;;;;;;;
Saison;1542;1268;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Titletown Brewing;200 Dousman Street;Green Bay;Wisconsin;United States;44.52; -88.0173;;;;;;;;;;;
Imperial IPA;1543;1268;3;31;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Titletown Brewing;200 Dousman Street;Green Bay;Wisconsin;United States;44.52; -88.0173;;;;;;;;;;;
St.Pauli Girl Special Dark;1544;206;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brauerei Beck;Am Deich 18-19;Bremen;Bremen;Germany;53.0787; 8.7901;;;;;;;;;;;
St.Pauli Girl Beer;1545;206;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Brauerei Beck;Am Deich 18-19;Bremen;Bremen;Germany;53.0787; 8.7901;;;;;;;;;;;
Beer;1546;206;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brauerei Beck;Am Deich 18-19;Bremen;Bremen;Germany;53.0787; 8.7901;;;;;;;;;;;
Oktoberfestbier / Oktoberfest Ur-M�_rzen;1547;1176;7;84;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;Spaten-Franziskaner-Br�_u;Marsstrae 46-48;M�_nchen;Bayern;Germany;;;;;;;;;;;;;
Third Coast Ale;1548;730;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Kalamazoo Brewing;355 East Kalamazoo Avenue;Kalamazoo;Michigan;United States;42.2949; -85.5788;;;;;;;;;;;
Manifesto Pale Ale;1549;520;3;26;5;300000191;0;0;0;;We at FiftyFifty believe that beer is good. Especially this beer. Manifesto is one of FiftyFifty's flagship beers. This beer is a delight for those who take pleasure in craft beers and are looking for something that they can enjoy a few pints of. Manifesto has a restrained malt backbone of flavor with mild biscuit and caramel notes; and the hop character is light to moderate with mild earthiness evolving to a slightly more moderate citrus/piney finish. This is a beer of principle.;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Fifty Fifty Brewing Co.;11197 Brockway Road;Truckee;California;United States;39.322; -120.163;http://www.fiftyfiftybrewing.com/;;;;;;;;
Witte;155;433;-1;-1;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Struise Brouwers;Woesten;Woesten;West-Vlaanderen;Belgium;50.9229; 2.7518;http://www.struisebrouwers.be/;;;;;;;;;;
Dark;1550;206;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brauerei Beck;Am Deich 18-19;Bremen;Bremen;Germany;53.0787; 8.7901;;;;;;;;;;;
Ale;1551;85;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Bass Brewers;137 High Street;Burton-upon-Trent;Staffordshire;United Kingdom;52.8046; -1.6281;;;;;;;;;;;
Harvest Ale 2000;1552;727;1;13;11;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;JW Lees and Co (Brewers) Ltd.;Middleton Junction;Manchester;Manchester;United Kingdom;53.5412; -2.1734;;;;;;;;;;
Racer 5 IPA;1553;94;3;31;7;0;0;0;;This is a hoppy IPA. Did I say hops? Your brewer is a hop head! This is a full bodied beer using American grains. The goal was to create a base for showing off the unique floral qualities of two Pacific Northwest hops; Columbus and Cascade. Columbus is a new hybrid High Alpha Acid hop used mostly for bittering; but used heavily as an aromatic in this strong brew. Cascade is the balance that ties the malt and bittering hops together. It is a true specialty ale and is our brewer's statement on this style.;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Bear Republic Brewery;345 Healdsburg Avenue;Healdsburg;California;United States;38.6112; -122.871;http://www.bearrepublic.com/;;;;;;;;
Old Stock Ale 2001;1554;919;1;13;11;39999962;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;North Coast Brewing Company;455 North Main Street;Fort Bragg;California;United States;39.4466; -123.806;http://www.northcoastbrewing.com/home.htm;;;;;;;;;
Beer Line 2000;1555;769;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Lakefront Brewery;1872 North Commerce Street;Milwaukee;Wisconsin;United States;43.0547; -87.9053;http://www.lakefrontbrewery.com/index.html;;;;;;;;;;
Bigfoot 1998;1556;1142;-1;-1;9;600000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Sierra Nevada Brewing Co.;1075 East 20th Street;Chico;California;United States;39.7246; -121.816;http://www.sierranevada.com/;;;;;;;;;
Big Bear Black Stout;1557;94;3;43;8;100000382;0;0;0;;"Big Bear, as the name implies, is a hefty, black, Russian Imperial-style stout. This bold stout boasts a rich, caramel sweetness lavished by a robust, deep-roasted heartiness you can sink your teeth into. ...Big Bear's bold flavors are produced using a blend of Belgian and English roasted barley and crystal malts. Some unique flavors come forth in the malt character. ...Louisiana sweet molasses and dark brown sugar. This dark brew is well hopped with Chinook and Cascade hops, which are somewhat, masked by the malt. This is a balanced bold brew boasting an A.V.B. of 8.1% that can creep up on you, ""so don't get mauled"". It has a dry roasted quality that masks its' high alchohol content, so drink responsibly. 2004 California State Fair, Silver Medal Winner; 2002 World Beer Cup, Gold Medal Winner;   2002 Annual Bistro Beer Festival, Hayward, Gold Medal Winner; 2001 North American Brewers' Award, Honorable Mention - og 1.076, ABV 8.1%, IBU 68.";0;2010-07-22 22:00:00+02:00;American-Style Imperial Stout;North American Ale;Bear Republic Brewery;345 Healdsburg Avenue;Healdsburg;California;United States;38.6112; -122.871;http://www.bearrepublic.com/;;;;;;;;;
Tripel Crown;1558;857;5;61;10;0;0;0;;Cellar aged; subtly complex and deceptively strong. Using two of the old world's brewing traditions; we have combined British ingredients and methods with Belgian ale qualities.;0;2010-07-22 22:00:00+02:00;Belgian-Style Tripel;Belgian and French Ale;Middle Ages Brewing;120 Wilkinson Street;Syracuse;New York;United States;43.0508; -76.1617;http://www.middleagesbrewing.com/;;;;;;;;
Monkfish Tripel;1559;526;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Fish Brewing Company & Fish Tail Brewpub;515 Jefferson Street SE;Olympia;Washington;United States;47.0437; -122.897;http://www.fishbrewing.com/;;;;;;;;;;
Slaapmutske Triple Nightcap;156;432;-1;-1;8;100000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Proef Brouwerij;Doornzelestraat 20;Lochristi-Hijfte;Oost-Vlaanderen;Belgium;51.1159; 3.8158;;;;;;;;;;
Old Hooky;1560;670;-1;-1;4;599999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Hook Norton Brewery;Brewery Lane;Hook Norton;Oxford;United Kingdom;51.9966; -1.4922;;;;;;;;;;
Best Bitter;1561;670;-1;-1;3;400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Hook Norton Brewery;Brewery Lane;Hook Norton;Oxford;United Kingdom;51.9966; -1.4922;;;;;;;;;;
Generation;1562;670;-1;-1;4;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Hook Norton Brewery;Brewery Lane;Hook Norton;Oxford;United Kingdom;51.9966; -1.4922;;;;;;;;;;;
Prize Old Ale;1563;572;1;13;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;George Gale & Company;;Portsmouth;Hampshire;United Kingdom;50.7989; -1.0912;;;;;;;;;;;
Meister Pilsener;1564;832;-1;-1;5;99999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Martini-Brauerei;Klnische Strae 94-104;Kassel;Hessen;Germany;51.3175; 9.4793;;;;;;;;;;
Weissbier Dunkel;1565;832;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Martini-Brauerei;Klnische Strae 94-104;Kassel;Hessen;Germany;51.3175; 9.4793;;;;;;;;;;;
Kasseler Premium Pils;1566;832;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Martini-Brauerei;Klnische Strae 94-104;Kassel;Hessen;Germany;51.3175; 9.4793;;;;;;;;;;;
Weissbier Hell;1567;832;4;50;5;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;Martini-Brauerei;Klnische Strae 94-104;Kassel;Hessen;Germany;51.3175; 9.4793;;;;;;;;;;
Angel Ale;1568;517;1;10;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;English-Style Pale Mild Ale;British Ale;Federation Brewery;Lancaster Road;Gateshead;Tyne and Wear;United Kingdom;54.9548; -1.6576;;;;;;;;;;;
Northumbrian Brown Ale;1569;517;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Federation Brewery;Lancaster Road;Gateshead;Tyne and Wear;United Kingdom;54.9548; -1.6576;;;;;;;;;;;
Biere de Mars;157;723;1;13;7;0;0;0;;A sustaining beer that is brewed to comfort in the gusty ides of March and welcome in a wealth of warmer weather.;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Jolly Pumpkin Artisan Ales;3115 Broad Street;Dexter;Michigan;United States;42.3375; -83.8895;http://www.jollypumpkin.com;;;;;;;;;;
Luxus Pils;1570;681;-1;-1;4;900000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Htt-Brauerei Bettenhuser;Knallhtte;Baunatal;Hessen;Germany;51.2615; 9.4494;;;;;;;;;;
Maifest;1571;865;7;84;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Oktoberfest;German Lager;Millstream Brewing;835 48th Avenue;Amana;Iowa;United States;41.7972; -91.8652;;;;;;;;;;;
Porter;1572;309;3;42;9;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Browar Zywiec;ul. Browarna 88;Zywiec;;Poland;49.6622; 19.1742;http://www.zywiec.com.pl/;;;;;;;;;
Hitachino Nest White Ale;1573;742;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Kiuchi Shuzou Goushi Kaisya;1257; Kounsosu;Ibaraki;Kanto;Japan;;;;;;;;;;;;
Old Devil;1574;1375;1;10;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;English-Style Pale Mild Ale;British Ale;Wychwood Brewery;The Eagle Maltings;Witney;Oxford;United Kingdom;51.7523; -1.2558;;;;;;;;;;;
Scarecrow Ale;1575;1375;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Wychwood Brewery;The Eagle Maltings;Witney;Oxford;United Kingdom;51.7523; -1.2558;;;;;;;;;;;
Old Tom Barley Wine;1576;554;-1;-1;8;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Frederic Robinson Ltd.;Unicorn Brewery;Stockport;Cheshire;United Kingdom;41.499; -72.9007;;;;;;;;;;
Hitachino Nest Sweet Stout;1577;742;3;42;3;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Kiuchi Shuzou Goushi Kaisya;1257; Kounsosu;Ibaraki;Kanto;Japan;;;;;;;;;;;
Southern Blonde;1578;444;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Diamond Bear Brewing Co.;323-C Cross Street;Little Rock;Arkansas;United States;34.7473; -92.2839;http://www.diamondbear.com/;;;;;;;;;;
Gouden Carolus No��l;1579;284;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Het Anker;Guido Gezellelaan 49;Mechelen;Antwerpen;Belgium;51.0325; 4.473;http://www.hetanker.be/;;;;;;;;;;
Kerst Pater Special Christmas Beer;158;300;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Van Den Bossche;St Lievensplein 16;Sint-Lievens-Esse;Oost-Vlaanderen;Belgium;50.8564; 3.8845;;;;;;;;;;;
Urthel Hibernius Quentum Ale;1580;431;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Leyerth Brouwerijen;Krommekeerstraat 21;Ruiselede;West-Vlaanderen;Belgium;51.0811; 3.3699;;;;;;;;;;;
Vintage Ale 1999;1581;563;1;13;8;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Fuller; Smith & Turner PBC;Chiswick Lane South;London;London;United Kingdom;51.4877; -0.2498;http://www.fullers.co.uk/;;;;;;;;
Abbaye de Saint-Martin Blonde;1582;171;5;65;7;0;0;0;;11.2oz bottle.  Slightly hazy golden color with a white head. Earthy clay; light molasses; and buttered cauliflower aromas. A crisp; frothy entry leads to a dryish medium body of figs; creamy caramel; and roasted carrot flavors. This St. Martin Blonde ale finishes with dried fruit and cashew fade.  Abbye St. Martin Ales are pure Belgium.;0;2010-07-22 22:00:00+02:00;Belgian-Style Pale Strong Ale;Belgian and French Ale;Brasserie de Brunehaut;Rue de Panneries 17;Brunehaut;Hainaut;Belgium;50.5109; 3.3883;http://www.brunehaut.com/;;;;;
Ertvelds Wit;1583;304;-1;-1;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Van Steenberge;Lindenlaan 25;Ertvelde;Oost-Vlaanderen;Belgium;51.1766; 3.7462;;;;;;;;;;;
Jeffrey Hudson Bitter;1584;931;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Oakham Ales;80 Westgate;Peterborough;Cambridge;United Kingdom;52.5758; -0.248;;;;;;;;;;;
Old Scratch Barleywine 1996;1585;602;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Great Dane Pub and Brewing #1;123 East Doty Street;Madison;Wisconsin;United States;43.0745; -89.3802;;;;;;;;;;;
Cattail Ale;1586;769;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Lakefront Brewery;1872 North Commerce Street;Milwaukee;Wisconsin;United States;43.0547; -87.9053;http://www.lakefrontbrewery.com/index.html;;;;;;;;;;
Helles Bock;1587;608;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Green Bay Brewing;313 Dousman Street;Green Bay;Wisconsin;United States;44.5189; -88.0196;;;;;;;;;;;
Premium Ale;1588;766;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Lake Louie Brewing;7556 Pine Road;Arena;Wisconsin;United States;43.1706; -89.9324;;;;;;;;;;;
Pilsener;1589;1037;7;77;4;800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Pilsener;German Lager;Radeberger Exportbierbrauerei;Dresdener Strae 2;Radeberg;Sachsen;Germany;51.1148; 13.915;;;;;;;;;;
Zoetzuur Flemish Ale;159;432;-1;-1;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Proef Brouwerij;Doornzelestraat 20;Lochristi-Hijfte;Oost-Vlaanderen;Belgium;51.1159; 3.8158;;;;;;;;;;;
Schlafly K̦lsch;1590;1092;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Saint Louis Brewery / Schlafy Tap Room;2100 Locust Street;Saint Louis;Missouri;United States;38.633; -90.21;http://www.schlafly.com/;;;;;;;;;;
Cinq Cents (White);1591;173;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie de l'Abbaye de Scourmont (Trappistes);Route de Rond Point 294;Chimay-Forges;Hainaut;Belgium;49.9842; 4.3111;;;;;;;;;;;
SunRye;1592;1051;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Redhook Ale Brewery;;Seattle;Washington;United States;47.6062; -122.332;http://www.redhook.com/;;;;;;;;;;
Weiss Beer;1593;413;4;50;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;Crescent City Brewhouse;527 Decatur Street;New Orleans;Louisiana;United States;29.9558; -90.0641;;;;;;;;;;;
Black Forest;1594;413;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Crescent City Brewhouse;527 Decatur Street;New Orleans;Louisiana;United States;29.9558; -90.0641;;;;;;;;;;;
Steam;1595;413;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Crescent City Brewhouse;527 Decatur Street;New Orleans;Louisiana;United States;29.9558; -90.0641;;;;;;;;;;;
Red Stallion;1596;413;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Crescent City Brewhouse;527 Decatur Street;New Orleans;Louisiana;United States;29.9558; -90.0641;;;;;;;;;;;
Pilsner;1597;413;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Crescent City Brewhouse;527 Decatur Street;New Orleans;Louisiana;United States;29.9558; -90.0641;;;;;;;;;;;
Black Wych Stout;1598;1375;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Wychwood Brewery;The Eagle Maltings;Witney;Oxford;United Kingdom;51.7523; -1.2558;;;;;;;;;;;
Abby Road Belgian Ale;1599;1386;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Zea Rotisserie and Brewery;1525 St. Charles Avenue;New Orleans;Louisiana;United States;29.9386; -90.076;http://www.zearestaurants.com;;;;;;;;;;
Ultrablonde;16;168;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie d'Ecaussinnes;rue Restaumont;118;Ecaussinnes;Hainaut;Belgium;50.5593; 4.1365;;;;;;;;;;
WPA (Wheat Pale Ale);160;869;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Minneapolis Town Hall Brewery;1430 Washington Avenue South;Minneapolis;Minnesota;United States;44.9732; -93.2479;http://www.townhallbrewery.com/;;;;;;;;;;
"Ginger-\""slap\"" Spiced Ale";1600;1386;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Zea Rotisserie and Brewery;1525 St. Charles Avenue;New Orleans;Louisiana;United States;29.9386; -90.076;http://www.zearestaurants.com;;;;;;;;;;
Z.P.A. India Pale Ale;1601;1386;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Zea Rotisserie and Brewery;1525 St. Charles Avenue;New Orleans;Louisiana;United States;29.9386; -90.076;http://www.zearestaurants.com;;;;;;;;;;
Ponchartrain Porter;1602;1386;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Zea Rotisserie and Brewery;1525 St. Charles Avenue;New Orleans;Louisiana;United States;29.9386; -90.076;http://www.zearestaurants.com;;;;;;;;;;
Category 5 Strong Ale;1603;1386;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Zea Rotisserie and Brewery;1525 St. Charles Avenue;New Orleans;Louisiana;United States;29.9386; -90.076;http://www.zearestaurants.com;;;;;;;;;;
Lager;1604;1386;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Zea Rotisserie and Brewery;1525 St. Charles Avenue;New Orleans;Louisiana;United States;29.9386; -90.076;http://www.zearestaurants.com;;;;;;;;;;
Clearview Light;1605;1386;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Zea Rotisserie and Brewery;1525 St. Charles Avenue;New Orleans;Louisiana;United States;29.9386; -90.076;http://www.zearestaurants.com;;;;;;;;;;
Alt;1606;1020;3;38;4;800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Privatbrauerei Frankenheim;Wielandstrae 14-16;Dsseldorf;Nordrhein-Westfalen;Germany;51.2292; 6.7925;;;;;;;;;;
K̦nig Ludwig Weissbier Hell;1607;748;4;50;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;Knig Ludwig Schlobrauerei Kaltenberg;Augsburgerstrae 41;Frstenfeldbruck;Bayern;Germany;48.1826; 11.2522;;;;;;;;;;;
Malt Mac Winter Ale;1608;838;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;McCashin's Brewery & Malthouse;660 Main Road;Nelson;;New Zealand;40.1989; -98.0673;;;;;;;;;;;
Pale Ale;1609;381;8;95;5;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;City Brewing Company; LLC;925 South Third Street;La Crosse;Wisconsin;United States;;http://www.citybrewery.com/;;;;;;;;;
Smoked Hefe;161;869;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Minneapolis Town Hall Brewery;1430 Washington Avenue South;Minneapolis;Minnesota;United States;44.9732; -93.2479;http://www.townhallbrewery.com/;;;;;;;;;;
Reinaert Flemish Wild Ale;1610;432;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Proef Brouwerij;Doornzelestraat 20;Lochristi-Hijfte;Oost-Vlaanderen;Belgium;51.1159; 3.8158;;;;;;;;;;;
Goat Toppler Mai Bock;1611;1063;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Rock Bottom Restaurant & Brewery - Chicago;1 West Grand Avenue;Chicago;Illinois;United States;41.8915; -87.6284;;;;;;;;;;;
ESB;1612;635;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Harpoon Brewery - Windsor;336 Ruth Carney Drive;Windsor;Vermont;United States;43.513; -72.4015;http://www.harpoonbrewery.com/;;;;;;;;;;
Winter Porter;1613;381;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;City Brewing Company; LLC;925 South Third Street;La Crosse;Wisconsin;United States;;http://www.citybrewery.com/;;;;;;;;;;
White Bi̬re;1614;1200;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Stevens Point Brewery;2617 Water Street;Stevens Point;Wisconsin;United States;44.5104; -89.5734;;;;;;;;;;;
Stite Golden Pilsner;1615;392;8;95;4;699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Cold Spring Brewing;219 Red River Avenue North;Cold Spring;Minnesota;United States;45.4582; -94.4291;http://www.coldspringbrewery.com/;;;;;;;;;
Cream City Pale Ale;1616;769;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Lakefront Brewery;1872 North Commerce Street;Milwaukee;Wisconsin;United States;43.0547; -87.9053;http://www.lakefrontbrewery.com/index.html;;;;;;;;;;
Swede Saw Red Ale;1617;800;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Logjam Microbrewery;B-4864 Cty Rd F;Unity;Wisconsin;United States;44.8516; -90.3165;http://www.logjambeer.com/;;;;;;;;;;
Lager;1618;800;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Logjam Microbrewery;B-4864 Cty Rd F;Unity;Wisconsin;United States;44.8516; -90.3165;http://www.logjambeer.com/;;;;;;;;;;
Bower City Pale Ale;1619;599;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Gray Brewing;2424 West Court Street;Janesville;Wisconsin;United States;42.6793; -89.0498;;;;;;;;;;;
The Unforgiven Amber Ale;162;1084;3;33;5;800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Rush River Brewing;990 Antler Court;River Falls;Wisconsin;United States;44.8902; -92.6378;;;;;;;;;;
Dr. Hops Pale Ale;1620;688;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Idaho Brewing;;Idaho Falls;Idaho;United States;43.4666; -112.034;;;;;;;;;;;
Dr. Hops Amber Ale;1621;688;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Idaho Brewing;;Idaho Falls;Idaho;United States;43.4666; -112.034;;;;;;;;;;;
Czech Mate Pilsner;1622;1268;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Titletown Brewing;200 Dousman Street;Green Bay;Wisconsin;United States;44.52; -88.0173;;;;;;;;;;;
Bak;1623;465;7;90;7;300000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Dreher Srgyrak Zrt.;Jszbernyi t 7-11;Budapest;;Hungary;47.4921; 19.1422;;;;;;;;;;
